Nb_Locations : 141
 
from,to,distance,speed,duration 
0,0,0,0,0,
0,1,7.595,0.614151,12.3667,
0,2,7.181,0.579113,12.4,
0,3,9.161,0.777454,11.7833,
0,4,26.546,1.11226,23.8667,
0,5,11.603,0.755896,15.35,
0,6,10.11,0.789844,12.8,
0,7,11.876,0.750063,15.8333,
0,8,12.648,0.750623,16.85,
0,9,9.638,0.682739,14.1167,
0,10,28.047,1.19603,23.45,
0,11,15.478,0.8786,17.6167,
0,12,6.64,0.592857,11.2,
0,13,11.486,0.639295,17.9667,
0,14,10.891,0.644438,16.9,
0,15,12.969,0.847647,15.3,
0,16,50.746,1.28579,39.4667,
0,17,8.198,0.778291,10.5333,
0,18,10.382,0.6727,15.4333,
0,19,11.067,0.627618,17.6333,
0,20,11.925,0.750787,15.8833,
0,21,10.151,0.666368,15.2333,
0,22,43.475,1.26258,34.4333,
0,23,7.027,0.685561,10.25,
0,24,11.029,0.647495,17.0333,
0,25,13.742,0.821235,16.7333,
0,26,9.029,0.659854,13.6833,
0,27,9.982,0.679048,14.7,
0,28,11.018,0.742787,14.8333,
0,29,14.484,0.799485,18.1167,
0,30,33.283,0.981799,33.9,
0,31,14.015,0.772176,18.15,
0,32,15.704,0.900803,17.4333,
0,33,15.615,0.883868,17.6667,
0,34,9.364,0.689374,13.5833,
0,35,6.888,0.665507,10.35,
0,36,13.539,0.821375,16.4833,
0,37,12.486,0.764449,16.3333,
0,38,15.386,0.89889,17.1167,
0,39,9.478,0.656674,14.4333,
0,40,11.88,0.630796,18.8333,
0,41,8.452,0.598725,14.1167,
0,42,11.826,0.716004,16.5167,
0,43,17.305,0.956959,18.0833,
0,44,21.477,0.985937,21.7833,
0,45,6.896,0.671688,10.2667,
0,46,8.831,0.717967,12.3,
0,47,10.493,0.7706,13.6167,
0,48,22.151,0.972246,22.7833,
0,49,8.974,0.77585,11.5667,
0,50,18.693,0.898702,20.8,
0,51,1.725,0.522727,3.3,
0,52,17.828,0.949139,18.7833,
0,53,7.131,0.647292,11.0167,
0,54,31.508,1.02354,30.7833,
0,55,9.752,0.744427,13.1,
0,56,11.281,0.624986,18.05,
0,57,8.887,0.683615,13,
0,58,10.656,0.760238,14.0167,
0,59,5.538,0.680902,8.13333,
0,60,14.296,0.781914,18.2833,
0,61,6.822,0.605503,11.2667,
0,62,9.856,0.740125,13.3167,
0,63,11.449,0.728462,15.7167,
0,64,8.926,0.662822,13.4667,
0,65,18.786,0.904623,20.7667,
0,66,5.401,0.670932,8.05,
0,67,19.801,0.889933,22.25,
0,68,8.769,0.704337,12.45,
0,69,19.928,0.905818,22,
0,70,6.889,0.584639,11.7833,
0,71,14.359,0.776162,18.5,
0,72,13.109,0.730306,17.95,
0,73,18.013,0.943913,19.0833,
0,74,8.628,0.712077,12.1167,
0,75,12.953,0.720946,17.9667,
0,76,6.321,0.643905,9.81667,
0,77,12.214,0.770599,15.85,
0,78,9.631,0.726868,13.25,
0,79,9.369,0.678913,13.8,
0,80,14.915,0.772131,19.3167,
0,81,12.509,0.846156,14.7833,
0,82,6.637,0.708577,9.36667,
0,83,9.545,0.655263,14.5667,
0,84,10.968,0.637674,17.2,
0,85,11.932,0.757587,15.75,
0,86,14.363,0.846542,16.9667,
0,87,20.601,1.00248,20.55,
0,88,16.266,0.852367,19.0833,
0,89,17.087,0.84659,20.1833,
0,90,8.174,0.616906,13.25,
0,91,12.032,0.855355,14.0667,
0,92,7.42,0.583486,12.7167,
0,93,15.709,0.85375,18.4,
0,94,12.339,0.86086,14.3333,
0,95,10.334,0.76172,13.5667,
0,96,7.3,0.620397,11.7667,
0,97,13.781,0.810647,17,
0,98,20.237,0.898756,22.5167,
0,99,7.007,0.589649,11.8833,
0,100,14.607,0.760121,19.2167,
0,101,18.523,0.91698,20.2,
0,102,12.288,0.876671,14.0167,
0,103,10.072,0.678249,14.85,
0,104,12.436,0.742448,16.75,
0,105,10.561,0.679164,15.55,
0,106,11.52,0.629508,18.3,
0,107,7.564,0.613297,12.3333,
0,108,17.974,0.824495,21.8,
0,109,28.782,1.16921,24.6167,
0,110,34.823,1.25942,27.65,
0,111,28.93,1.1042,26.2,
0,112,8.218,0.68011,12.0833,
0,113,7.774,0.765911,10.15,
0,114,9.226,0.742038,12.4333,
0,115,7.245,0.609677,11.8833,
0,116,11.893,0.63373,18.7667,
0,117,21.924,0.947041,23.15,
0,118,8.72,0.700402,12.45,
0,119,30.832,1.10114,28,
0,120,9.426,0.76427,12.3333,
0,121,11.31,0.620293,18.2333,
0,122,6.701,0.709101,9.45,
0,123,33.748,1.12807,29.9167,
0,124,28.744,1.12354,25.5833,
0,125,8.837,0.701349,12.6,
0,126,33.774,1.20406,28.05,
0,127,20.116,0.902737,22.2833,
0,128,9.57,0.69854,13.7,
0,129,8.465,0.666535,12.7,
0,130,11.3,0.722045,15.65,
0,131,17.379,0.947945,18.3333,
0,132,13.106,0.836553,15.6667,
0,133,12.811,0.844681,15.1667,
0,134,9.322,0.682098,13.6667,
0,135,9.769,0.677618,14.4167,
0,136,8.622,0.663231,13,
0,137,29.767,1.08705,27.3833,
0,138,21.357,0.947095,22.55,
0,139,8.018,0.719103,11.15,
0,140,21.301,0.958066,22.2333,
1,0,7.608,0.585982,12.9833,
1,1,0,0,0,
1,2,0.71,0.390826,1.81667,
1,3,10.528,0.790588,13.3167,
1,4,19.423,1.09016,17.8167,
1,5,12.784,0.900282,14.2,
1,6,12.343,0.898762,13.7333,
1,7,4.673,0.534057,8.75,
1,8,4.837,0.51825,9.33333,
1,9,4.644,0.548504,8.46667,
1,10,29.83,1.28209,23.2667,
1,11,8.795,0.576721,15.25,
1,12,1.897,0.426292,4.45,
1,13,6.259,0.526704,11.8833,
1,14,5.897,0.524955,11.2333,
1,15,4.541,0.549315,8.26667,
1,16,52.529,1.33718,39.2833,
1,17,11.584,0.809127,14.3167,
1,18,13.427,0.866258,15.5,
1,19,5.152,0.502634,10.25,
1,20,12.416,0.897542,13.8333,
1,21,5.157,0.539059,9.56667,
1,22,40.412,1.31208,30.8,
1,23,7.267,0.598107,12.15,
1,24,5.388,0.560277,9.61667,
1,25,22.648,0.972713,23.2833,
1,26,10.655,0.835686,12.75,
1,27,4.988,0.552177,9.03333,
1,28,13.252,0.83962,15.7833,
1,29,6.951,0.554601,12.5333,
1,30,39.468,1.04367,37.8167,
1,31,7.561,0.551227,13.7167,
1,32,8.376,0.585052,14.3167,
1,33,8.601,0.58246,14.7667,
1,34,2.769,0.501934,5.51667,
1,35,8.61,0.611361,14.0833,
1,36,6.504,0.551186,11.8,
1,37,4.337,0.524637,8.26667,
1,38,8.703,0.590034,14.75,
1,39,2.884,0.455368,6.33333,
1,40,5.779,0.546909,10.5667,
1,41,1.177,0.422874,2.78333,
1,42,14.242,0.840236,16.95,
1,43,14.242,0.98447,14.4667,
1,44,18.414,1.01455,18.15,
1,45,8.617,0.6155,14,
1,46,1.691,0.515025,3.28333,
1,47,12.726,0.873638,14.5667,
1,48,12.385,0.64282,19.2667,
1,49,14.995,0.757961,19.7833,
1,50,15.63,0.909602,17.1833,
1,51,9.317,0.642552,14.5,
1,52,14.765,0.973516,15.1667,
1,53,2.604,0.492871,5.28333,
1,54,28.446,1.04709,27.1667,
1,55,11.119,0.797061,13.95,
1,56,5.18,0.529472,9.78333,
1,57,4.732,0.482857,9.8,
1,58,12.89,0.861247,14.9667,
1,59,8.698,0.609673,14.2667,
1,60,7.842,0.565529,13.8667,
1,61,1.353,0.375833,3.6,
1,62,7.845,0.583995,13.4333,
1,63,13.25,0.86039,15.4,
1,64,2.331,0.431667,5.4,
1,65,15.723,0.916793,17.15,
1,66,8.521,0.625012,13.6333,
1,67,16.738,0.898283,18.6333,
1,68,2.174,0.49977,4.35,
1,69,11.734,0.642959,18.25,
1,70,2.146,0.42495,5.05,
1,71,7.876,0.552702,14.25,
1,72,17.105,0.913078,18.7333,
1,73,14.95,0.96973,15.4167,
1,74,12.347,0.827732,14.9167,
1,75,15.187,0.802837,18.9167,
1,76,1.794,0.439347,4.08333,
1,77,5.011,0.571597,8.76667,
1,78,11.865,0.836545,14.1833,
1,79,11.303,0.770659,14.6667,
1,80,8.432,0.559028,15.0833,
1,81,4.081,0.526581,7.75,
1,82,11.664,0.848291,13.75,
1,83,2.95,0.456186,6.46667,
1,84,5.454,0.54906,9.93333,
1,85,4.729,0.545654,8.66667,
1,86,21.74,1.06656,20.3833,
1,87,17.538,1.03673,16.9167,
1,88,9.583,0.57326,16.7167,
1,89,9.633,0.593409,16.2333,
1,90,1.273,0.350367,3.63333,
1,91,18.053,0.810157,22.2833,
1,92,0.856,0.39814,2.15,
1,93,8.238,0.564247,14.6,
1,94,6.406,0.562753,11.3833,
1,95,12.567,0.865695,14.5167,
1,96,2.422,0.41639,5.81667,
1,97,7.297,0.571567,12.7667,
1,98,12.042,0.64224,18.75,
1,99,5.749,0.660805,8.7,
1,100,8.123,0.542739,14.9667,
1,101,15.46,0.932261,16.5833,
1,102,3.859,0.553923,6.96667,
1,103,5.078,0.552958,9.18333,
1,104,5.234,0.541448,9.66667,
1,105,6.114,0.529351,11.55,
1,106,5.419,0.5401,10.0333,
1,107,1.147,0.347576,3.3,
1,108,10.564,0.620196,17.0333,
1,109,30.566,1.25185,24.4167,
1,110,31.76,1.32241,24.0167,
1,111,25.868,1.14629,22.5667,
1,112,6.495,0.559914,11.6,
1,113,12.054,0.861,14,
1,114,11.94,0.806757,14.8,
1,115,1.203,0.342085,3.51667,
1,116,5.996,0.536155,11.1833,
1,117,12.702,0.604857,21,
1,118,4.797,0.485363,9.88333,
1,119,27.769,1.13885,24.3833,
1,120,11.66,0.878894,13.2667,
1,121,5.313,0.530416,10.0167,
1,122,8.422,0.638837,13.1833,
1,123,30.685,1.16673,26.3,
1,124,25.681,1.16998,21.95,
1,125,4.484,0.507623,8.83333,
1,126,30.711,1.25779,24.4167,
1,127,11.922,0.643273,18.5333,
1,128,2.975,0.528107,5.63333,
1,129,5.362,0.545288,9.83333,
1,130,13.533,0.815241,16.6,
1,131,14.317,0.973946,14.7,
1,132,6.623,0.580117,11.4167,
1,133,4.383,0.538893,8.13333,
1,134,4.558,0.499051,9.13333,
1,135,13.524,0.870644,15.5333,
1,136,5.272,0.554947,9.5,
1,137,26.704,1.12438,23.75,
1,138,18.295,0.966285,18.9333,
1,139,12.223,0.861786,14.1833,
1,140,18.239,0.979714,18.6167,
2,0,7.181,0.588607,12.2,
2,1,0.71,0.352066,2.01667,
2,2,0,0,0,
2,3,10.101,0.805931,12.5333,
2,4,18.314,1.01556,18.0333,
2,5,12.357,0.921019,13.4167,
2,6,12.496,0.89151,14.0167,
2,7,4.826,0.534244,9.03333,
2,8,4.801,0.50894,9.43333,
2,9,4.797,0.549275,8.73333,
