location,zone 
0,0
1,1
2,1
3,2
4,3
5,4
6,4
7,5
8,5
9,6
10,7
11,8
12,1
13,6
14,6
15,5
16,9
17,4
18,4
19,6
20,4
21,5
22,10
23,2
24,5
25,2
26,4
27,5
28,4
29,6
30,11
31,12
32,12
33,12
34,1
35,2
36,6
37,5
38,8
39,1
40,6
41,1
42,4
43,8
44,8
45,2
46,1
47,4
48,8
49,2
50,8
51,0
52,8
53,1
54,13
55,4
56,6
57,6
58,4
59,2
60,12
61,1
62,2
63,4
64,1
65,8
66,2
67,8
68,1
69,8
70,1
71,12
72,8
73,8
74,4
75,8
76,1
77,5
78,4
79,4
80,12
81,5
82,2
83,1
84,5
85,5
86,4
87,8
88,8
89,8
90,1
91,2
92,1
93,12
94,6
95,4
96,1
97,12
98,8
99,1
100,12
101,8
102,5
103,5
104,5
105,6
106,6
107,1
108,8
109,7
110,13
111,7
112,2
113,4
114,4
115,1
116,6
117,8
118,6
119,13
120,4
121,6
122,2
123,13
124,13
125,6
126,13
127,8
128,1
129,2
130,4
131,8
132,6
133,5
134,6
135,4
136,2
137,13
138,8
139,6
140,8
